,Material,AtomicMass,AtomicNumber,FirstIonizationEnergy,CovalentRadius,ElectronAffinity,FusionHeat,Period,Valence,VaporizationHeat
0,0,57.86269229,24.97142857,1010.268571,115.9428571,110.2271429,3.846857143,3.428571429,2.257142857,151.6628571
1,1,58.51841614,25.24285714,1010.612857,116.0142857,110.8164286,3.796857143,3.442857143,2.257142857,154.7342857
2,2,57.88524186,24.98571429,1010.82,115.8285714,110.7135714,3.822571429,3.428571429,2.271428571,155.3771429
3,3,57.87396707,24.97857143,1010.544286,115.8857143,110.4703571,3.834714286,3.428571429,2.264285714,153.52
4,4,57.84014271,24.95714286,1009.717143,116.0571429,109.7407143,3.871142857,3.428571429,2.242857143,147.9485714
5,5,57.79504357,24.92857143,1008.614286,116.2857143,108.7678571,3.919714286,3.428571429,2.214285714,140.52
6,6,57.68229571,24.85714286,1005.857143,116.8571429,106.3357143,4.041142857,3.428571429,2.142857143,121.9485714
7,7,57.17514186,24.72857143,1011.484286,115.5428571,110.5861429,3.822571429,3.414285714,2.271428571,155.3342857
8,8,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
9,9,56.44249229,24.45714286,1011.597143,115.3714286,109.9722857,3.846857143,3.4,2.257142857,151.5771429
10,10,55.70984271,24.18571429,1011.71,115.2,109.3584286,3.871142857,3.385714286,2.242857143,147.82
11,11,63.713457,27.14285714,1020.902857,116.0571429,104.6664286,3.407857143,3.514285714,2.242857143,137.6285714
12,12,58.201829,25.11428571,1010.716429,115.9214286,110.765,3.809714286,3.435714286,2.264285714,155.0557143
13,13,58.51841614,25.24285714,1010.612857,116.0142857,110.8164286,3.796857143,3.442857143,2.257142857,154.7342857
14,14,59.46817757,25.62857143,1010.302143,116.2928571,110.9707143,3.758285714,3.464285714,2.235714286,153.77
15,15,61.05111329,26.27142857,1009.784286,116.7571429,111.2278571,3.694,3.5,2.2,152.1628571
16,16,47.50531923,21.23076923,1006.965385,112.1923077,107.2238462,5.271076923,3.230769231,2.076923077,122.4130769
17,17,57.87396707,24.97857143,1010.544286,115.8857143,110.4703571,3.834714286,3.428571429,2.264285714,153.52
18,18,56.80881707,24.59285714,1011.540714,115.4571429,110.2792143,3.834714286,3.407142857,2.264285714,153.4557143
19,19,57.54146664,24.86428571,1011.427857,115.6285714,110.8930714,3.810428571,3.421428571,2.278571429,157.2128571
